epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,866.307,0.65997,0.71919,0.94423,0.98849,1,0.995,0.88769,0.47583,0.63456,0.86163,0.000665057,0.000665057,0.000665057
56,881.926,0.60821,0.72258,0.91305,0.98849,1,0.995,0.88769,0.47583,0.63456,0.86163,0.000650909,0.000650909,0.000650909
57,896.115,0.63964,0.7223,0.93398,0.9922,1,0.995,0.88846,0.46919,0.6385,0.85008,0.000636762,0.000636762,0.000636762
58,910.617,0.64443,0.70511,0.92428,0.9922,1,0.995,0.88846,0.46919,0.6385,0.85008,0.000622615,0.000622615,0.000622615
59,924.389,0.61193,0.67376,0.91283,0.99215,0.99836,0.995,0.89983,0.43991,0.62622,0.83865,0.000608468,0.000608468,0.000608468
60,937.995,0.62601,0.69627,0.93765,0.99215,0.99836,0.995,0.89983,0.43991,0.62622,0.83865,0.000594321,0.000594321,0.000594321
61,952.024,0.55555,0.69262,0.90546,0.9915,0.99806,0.995,0.90165,0.42171,0.61896,0.833,0.000580174,0.000580174,0.000580174
62,965.441,0.57787,0.73815,0.93332,0.9915,0.99806,0.995,0.90165,0.42171,0.61896,0.833,0.000566027,0.000566027,0.000566027
63,979.011,0.63909,0.73606,0.91907,0.99192,0.99905,0.995,0.90193,0.42533,0.61691,0.83264,0.00055188,0.00055188,0.00055188
64,993.192,0.58946,0.65724,0.91495,0.99192,0.99905,0.995,0.90193,0.42533,0.61691,0.83264,0.000537733,0.000537733,0.000537733
65,1007.46,0.56223,0.65429,0.9087,0.99175,0.99768,0.995,0.90252,0.42277,0.6231,0.83335,0.000523586,0.000523586,0.000523586
66,1020.65,0.58863,0.67612,0.91676,0.99175,0.99768,0.995,0.90252,0.42277,0.6231,0.83335,0.000509438,0.000509438,0.000509438
67,1033.92,0.54042,0.64099,0.90389,0.99244,0.99527,0.995,0.9022,0.42596,0.62513,0.83445,0.000495291,0.000495291,0.000495291
68,1047.11,0.54393,0.6806,0.89636,0.99244,0.99527,0.995,0.9022,0.42596,0.62513,0.83445,0.000481144,0.000481144,0.000481144
69,1060.54,0.5933,0.66508,0.92757,0.98814,0.99768,0.995,0.90594,0.41665,0.61581,0.83326,0.000466997,0.000466997,0.000466997
70,1074.66,0.59351,0.65484,0.89705,0.98814,0.99768,0.995,0.90594,0.41665,0.61581,0.83326,0.00045285,0.00045285,0.00045285
71,1088.41,0.60394,0.66049,0.91858,0.98886,1,0.995,0.9053,0.40849,0.60544,0.83029,0.000438703,0.000438703,0.000438703
72,1101.16,0.53321,0.67289,0.90188,0.98886,1,0.995,0.9053,0.40849,0.60544,0.83029,0.000424556,0.000424556,0.000424556
73,1113.1,0.53836,0.65282,0.91993,0.99356,1,0.995,0.91519,0.40017,0.59266,0.82808,0.000410409,0.000410409,0.000410409
74,1124.96,0.61862,0.6743,0.94373,0.99356,1,0.995,0.91519,0.40017,0.59266,0.82808,0.000396262,0.000396262,0.000396262
75,1139.18,0.54634,0.67557,0.90505,0.99417,1,0.995,0.92636,0.39372,0.57672,0.82687,0.000382115,0.000382115,0.000382115
76,1153.54,0.57913,0.67676,0.91814,0.99417,1,0.995,0.92636,0.39372,0.57672,0.82687,0.000367967,0.000367967,0.000367967
77,1168.97,0.56062,0.62649,0.91838,0.99529,1,0.995,0.92884,0.38894,0.56761,0.8246,0.00035382,0.00035382,0.00035382
78,1184.05,0.54713,0.62479,0.91036,0.99529,1,0.995,0.92884,0.38894,0.56761,0.8246,0.000339673,0.000339673,0.000339673
79,1198.09,0.52088,0.59952,0.88133,0.99482,0.99902,0.995,0.92927,0.37623,0.55734,0.82169,0.000325526,0.000325526,0.000325526
80,1212.37,0.53596,0.59685,0.90344,0.99482,0.99902,0.995,0.92927,0.37623,0.55734,0.82169,0.000311379,0.000311379,0.000311379
81,1226.62,0.50876,0.63414,0.9157,0.99373,0.99876,0.995,0.93563,0.37521,0.55382,0.821,0.000297232,0.000297232,0.000297232
82,1240.19,0.51998,0.6031,0.88672,0.99373,0.99876,0.995,0.93563,0.37521,0.55382,0.821,0.000283085,0.000283085,0.000283085
83,1254.02,0.54357,0.6311,0.88974,0.99237,0.99819,0.995,0.93023,0.37382,0.55067,0.82051,0.000268938,0.000268938,0.000268938
84,1268.44,0.53678,0.64688,0.9138,0.99237,0.99819,0.995,0.93023,0.37382,0.55067,0.82051,0.000254791,0.000254791,0.000254791
85,1282.13,0.4904,0.58814,0.89065,0.99209,0.99759,0.995,0.93584,0.3689,0.54203,0.8204,0.000240644,0.000240644,0.000240644
86,1295.86,0.5284,0.58658,0.90545,0.99209,0.99759,0.995,0.93584,0.3689,0.54203,0.8204,0.000226497,0.000226497,0.000226497
87,1309.39,0.47968,0.59937,0.89119,0.99189,0.99708,0.995,0.93482,0.36257,0.53587,0.82004,0.000212349,0.000212349,0.000212349
88,1323.39,0.4467,0.57779,0.86601,0.99189,0.99708,0.995,0.93482,0.36257,0.53587,0.82004,0.000198202,0.000198202,0.000198202
89,1336.91,0.52104,0.62378,0.90592,0.99167,0.99675,0.995,0.94421,0.35637,0.53222,0.81854,0.000184055,0.000184055,0.000184055
90,1349.85,0.48368,0.54919,0.86433,0.99167,0.99675,0.995,0.94421,0.35637,0.53222,0.81854,0.000169908,0.000169908,0.000169908
91,1363.49,0.48099,0.69569,0.84313,0.99195,0.99632,0.995,0.94223,0.35136,0.53627,0.81639,0.000155761,0.000155761,0.000155761
92,1378.57,0.48345,0.73646,0.86368,0.99195,0.99632,0.995,0.94223,0.35136,0.53627,0.81639,0.000141614,0.000141614,0.000141614
93,1392.51,0.44653,0.70209,0.84344,0.99269,0.99583,0.995,0.9451,0.35044,0.54391,0.81545,0.000127467,0.000127467,0.000127467
94,1406.05,0.43259,0.66581,0.8469,0.99269,0.99583,0.995,0.9451,0.35044,0.54391,0.81545,0.00011332,0.00011332,0.00011332
95,1418.43,0.49884,0.71168,0.84428,0.99332,0.99587,0.995,0.94295,0.35028,0.55359,0.81502,9.91726e-05,9.91726e-05,9.91726e-05
96,1430.29,0.45593,0.67104,0.865,0.99332,0.99587,0.995,0.94295,0.35028,0.55359,0.81502,8.50255e-05,8.50255e-05,8.50255e-05
97,1443.76,0.42442,0.60048,0.83498,0.99353,0.99589,0.995,0.94561,0.34904,0.56085,0.81477,7.08784e-05,7.08784e-05,7.08784e-05
98,1457.07,0.4412,0.65262,0.85207,0.99353,0.99589,0.995,0.94561,0.34904,0.56085,0.81477,5.67313e-05,5.67313e-05,5.67313e-05
99,1470.13,0.44256,0.66868,0.84235,0.99392,0.99592,0.995,0.94811,0.3468,0.56405,0.81487,4.25842e-05,4.25842e-05,4.25842e-05
100,1482.79,0.44196,0.63398,0.83715,0.99392,0.99592,0.995,0.94811,0.3468,0.56405,0.81487,2.84371e-05,2.84371e-05,2.84371e-05
